rowid,pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,pl_insol
1,11 Com b,12.2,4914.89848585,,323.21,1.178,
2,11 UMi b,12.3,4684.8142,,516.21997,1.53,
3,14 And b,13.1,1131.15130051,,186.76,0.775,
4,14 Her b,12.5,2828.6728223,,1766.41,2.839,
5,16 Cyg B b,13.5,565.7374,,798.5,1.66,
6,17 Sco b,12.9,1373.01871824,,578.38,1.45,
7,18 Del b,12.5,2926.24614325,,982.85,2.476,
8,1RXS J160929.1-210524 b,18.647,3000.0,1700.0,,330.0,
9,24 Boo b,13.9,280.64248338,,30.33,0.194,
10,24 Sex b,13.4,632.46,,452.8,1.333,
11,24 Sex c,13.9,273.32,,883.0,2.08,
12,2M0437 b,13.0,1271.313628,1450.0,,118.0,
13,2MASS J01033563-5515561 AB b,12.3,4131.79,,,84.0,
14,2MASS J01225093-2439505 b,11.209,7786.5,1600.0,,52.0,
15,2MASS J02192210-3925225 b,16.14096,4417.837,,,156.0,
16,2MASS J0249-0557 c,12.4,3686.8095212,,,1950.0,
17,2MASS J03590986+2009361 b,12.2,5720.911326,2369.0,,572.0,
18,2MASS J04414489+2301513 b,12.6,2383.6,,,15.0,
20,2MASS J11550485-7919108 b,12.1,6356.56814,2506.0,,587.0,
21,2MASS J12073346-3932539 b,15.69257298,1652.7077164,1163.0,,46.0,
22,2MASS J19383260+4603591 b,13.4,603.877,,406.0,0.92,
23,2MASS J21252752-8138278 b,12.4,3813.940884,1616.0,,7493.0,
24,2MASS J22362452+4751425 b,12.3,3972.875,,,230.0,
25,2MASS J22501512+2325342 b,11.9,9534.85221,1600.0,,518.0,
26,4 UMa b,12.6,2511.48007211,,270.27,0.877,
27,47 UMa b,13.2,804.08,,1078.0,2.1,
28,47 UMa c,14.2,171.621,,2391.0,3.6,
29,47 UMa d,13.5,521.22,,14002.0,11.6,
31,51 Peg b,14.3,146.2018,,4.230785,0.0527,
