rowid,hostname,st_teff,st_rad,st_mass,st_met,st_spectype,st_age,st_rotp
1,11 Com,4874.0,13.76,2.09,-0.26,G8 III,,
2,11 UMi,4213.0,29.79,2.78,-0.02,K4 III,1.56,
3,14 And,4888.0,11.55,1.78,-0.21,K0 III,4.5,
4,14 Her,5338.0,0.93,0.97,0.43,K0,4.6,
5,16 Cyg B,5750.0,1.13,1.08,0.06,G3 V,7.4,
6,17 Sco,4157.0,25.92,1.22,-0.01,K3 III,5.13,329.49
7,18 Del,4980.0,8.8,2.1,-0.06,G6 III,1.1,
8,1RXS J160929.1-210524,4060.0,1.31316,0.85,,K7 V,0.005,
9,24 Boo,4816.0,12.19,1.05,-0.78,G3 IV,6.92,
10,24 Sex,5098.0,4.9,1.54,-0.03,K0 IV,2.7,
11,24 Sex,5098.0,4.9,1.54,-0.03,K0 IV,2.7,
12,2MASS J04372171+2651014,3100.0,0.84,0.17,0.01,M V,0.0025,1.84
13,2MASS J01033563-5515561 A,,,0.19,,M5.5/M6,0.03,
14,2MASS J01225093-2439505,3530.0,0.36645,0.4,,M3.5 V,0.12,
15,2MASS J02192210-3925225,3064.0,0.281,0.108,,M6,0.035,
16,2MASS J0249-0557 A,2859.0,0.315959,0.046,,M6 V,0.022,
17,2MASS J03590986+2009361,2943.0,0.289776,0.264996,,,,
18,2MASS J04414489+2301513,2936.0,0.231916,0.019,,M8.5,0.001,
20,2MASS J11550485-7919108,3021.0,0.600455,0.58846,,,,
21,2MASS J12073346-3932539,2825.0,0.21887,0.188001,,M8,0.01,
22,2MASS J19383260+4603591,29564.0,0.203,0.48,-0.092,,,
23,2MASS J21252752-8138278,3592.0,0.672832,0.643977,,,,
24,2MASS J22362452+4751425,4045.0,0.641152,0.6,,K7 V,0.12,
25,2MASS J22501512+2325342,3352.0,0.437589,0.433173,,M3,0.15,
26,4 UMa,4415.0,18.11,1.234,-0.25,K1 III,4.604,
27,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
28,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
29,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
31,51 Peg,5758.0,1.17561,1.03,0.18,G5V,10.0,30.0
32,55 Cnc B,3286.0,0.274,0.26,0.16,M4.5 V,10.0,92.0
33,55 Cnc B,3286.0,0.274,0.26,0.16,M4.5 V,10.0,92.0
34,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
35,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
