rowid,sy_dist,sy_pnum,discoverymethod,disc_year
1,93.1846,1,Radial Velocity,2007
2,125.321,1,Radial Velocity,2009
3,75.4392,1,Radial Velocity,2008
4,17.9323,2,Radial Velocity,2002
5,21.1397,1,Radial Velocity,1996
6,124.953,1,Radial Velocity,2020
7,76.222,1,Radial Velocity,2008
8,139.135,1,Imaging,2008
9,95.9863,1,Radial Velocity,2018
10,72.0691,2,Radial Velocity,2010
11,72.0691,2,Radial Velocity,2010
12,128.484,1,Imaging,2021
13,47.2,1,Imaging,2013
14,33.8281,1,Imaging,2013
15,40.08964117,1,Imaging,2015
16,66.0613,1,Imaging,2018
17,117.435,1,Imaging,2024
18,120.42398696,1,Imaging,2010
20,100.862,1,Imaging,2024
21,64.308,1,Imaging,2004
22,396.332,3,Eclipse Timing Variations,2015
23,34.1154,1,Imaging,2024
24,69.5737,1,Imaging,2016
25,57.2309,1,Imaging,2018
26,73.4603,1,Radial Velocity,2006
27,13.7967,3,Radial Velocity,1996
28,13.7967,3,Radial Velocity,2001
29,13.7967,3,Radial Velocity,2009
31,15.4614,1,Radial Velocity,1995
32,12.4773,7,Radial Velocity,2025
33,12.4773,7,Radial Velocity,2025
34,12.5855,7,Radial Velocity,1996
35,12.5855,7,Radial Velocity,2004
36,12.5855,7,Radial Velocity,2002
37,12.5855,7,Radial Velocity,2004
38,12.5855,7,Radial Velocity,2007
39,54.6599,1,Radial Velocity,2008
40,8.50332,3,Radial Velocity,2009
41,8.50332,3,Radial Velocity,2009
42,8.50332,3,Radial Velocity,2009
43,19.8101,2,Radial Velocity,2011
44,19.8101,2,Radial Velocity,2019
45,17.9011,1,Radial Velocity,1996
46,82.9613,2,Radial Velocity,2012
47,82.9613,2,Radial Velocity,2023
48,162.552,1,Radial Velocity,2015
49,101.26,1,Radial Velocity,2008
50,44.0304,1,Radial Velocity,2013
51,162.127,1,Imaging,2022
52,50.0475,1,Imaging,2005
53,26.8564,1,Imaging,2023
54,1040.0,1,Microlensing,2025
55,9.7221,4,Transit,2020
56,9.7221,4,Transit,2021
57,9.7221,4,Transit Timing Variations,2023
58,9.7221,4,Radial Velocity,2025
59,1070.63,1,Radial Velocity,2017
61,49.352,1,Radial Velocity,2009
62,768.045,1,Radial Velocity,2016
63,426.42,1,Radial Velocity,2013
64,1539.71,2,Radial Velocity,2009
65,1539.71,2,Radial Velocity,2009
66,1322.51,1,Radial Velocity,2012
67,179.461,1,Transit,2016
68,454.251,1,Radial Velocity,2023
69,610.715,1,Radial Velocity,2023
70,53.622,1,Radial Velocity,2021
71,871.493,1,Radial Velocity,2011
72,666.589,1,Radial Velocity,2018
73,442.042,1,Radial Velocity,2015
74,52.5697,1,Radial Velocity,2021
75,44.9543,1,Imaging,2021
76,38.0473,1,Radial Velocity,2021
78,20.2695,2,Radial Velocity,2013
80,41.3342,2,Radial Velocity,2009
81,84.4069,1,Radial Velocity,2000
82,27.1665,2,Radial Velocity,2014
83,27.1665,2,Radial Velocity,2020
84,925.214,1,Radial Velocity,2007
85,589.423,1,Transit,2024
86,34.4603,1,Radial Velocity,2008
87,23.7324,2,Radial Velocity,2023
88,23.7324,2,Radial Velocity,2023
89,119.052,1,Radial Velocity,2025
